13566,`` charles pettit james hutchinson dear sir new york 1st. jany. 1786 would ungrateful unjust treat bountiful punctual correspondent lately neglect hope ingratitude never find place catalogue vices. however afford little acknowledgment receipt favours 27th 29th ult -- return thanks. thanks somewhat like public certificates -- easily given often little value. however evidences debts one time another may paid. 9th 10th letter written post 1 would yet write could find time still somewhat arrears several subjects business politics friendship divers persons favoured communications however small proportion private concerns individuals flatter confidence good natured servant community members. knows obliging disposition may procure perquisites -- promotion office profit. probably say strange person apologizing little time write serious subjects run playful observations kind. moments imagination sometimes run little wild. often find sit write friend either without subject immediately view suppose leisure january 1 1786 enter discussion subjects mind imagination apt playful lead dances never conceived figure. vagaries kind must always something float upon pleasing affords foundation pleasure gratification tho mind may minutely investigated 's properties capacities affording pleasures perhaps may examind several objects possessed impute sparks good humour finds acting upon. whether interest feel present ate affairs pennsylvania temporary flow spirits another cause led unpremeditated train examined certain let pen run playful strain followed heedlessly looked sentence head beginning epistle. exhausted time afford therefore recall seriousness say much friend obliged servant cha. pettit p.s. please deliver inclosed letter 2 unobserved mrs. pettit. reason another time ``
13567,`` charles thomson states circular office secy congress jany 3. 1786 obedience order congress herewith transmit excelly communicated legislature state represen ta tion last month. 1 greatest respect honor yr excy obt hu ser ct ``
13568,`` nathan dane edward pulling dear sir 1 new york jany 8 1786. .since arrival congress done little business seven states assembled time know january 8 1786 unequal great objects confederacy considerable part time six. congress lately received interesting dispatches europe many important subjects requiring assent consideration nine states entered discussion therefore practicable collect certainty sentiments states determine part delegates act settling interesting questions conduct towards g. britain future towards barbary powers etc vesting commercial powers congress settling accounts several states union carrying effect continental impost system. little information collected since induced believe federal government power carry present important subjects effect time firm steady perseverance. think states present represented congress candid part good federal republican men -- men reasonably disposed give partial states interests good confederacy. true several young gentlemen southern states considerable fortunes educated europe bred law come high ideas distinction etiquette society sons warm debilitating climate luxurious soil think speak plausibly gentlemen possessed agreeable qualities minds constitutions want energy habits attention perseverance northern states -- capable wealth giving aid union partiality northern people efficient strength field abilities forum believe southern states much fear dissolution present confederacy. enervated disposed large territory little inured constraint capable making perhaps left stand alone little resistance foreign enemy one near home. best men totally unacquainted circumstances. considerations must press federal measures -- surely must alarmed even suggestion confederacy states north potomac even delaware give opposition avoid measure. states adopted contl. impost except r. island n. york georgia terms system recommended. r. island done partially n. york believed adopt winter. 2 general assembly convening soon enter upon consideration -- question whether theatre shall suppressed matters popular less substantial engross attention. ``
13569,`` charles thomson john dickinson dear sir new york january 9. 1786 received letters 23 30th december last. delivered mr. duane letter enclosed former since taken opportunity conversing subject promises write shortly. also called doct. cha. arding information. account gave. stephen commonly called judge hick left real estate son thomas legacy 1500 natural daughter married man name hick relation family. son thomas died four years ago made devised estate half sister natural daughter father issue default thereof husband issue case neither issue r p. hicks. natural daughter died leaving issue husband worthless drunken profligate fellow aft er wards married two wives dead died last fall without issue. told law broke entails made estate fee made death devised estate relation. doct arding says samuel jones eminent laywer lawyer seen knows circumstances clearly opinion estate belongs r p. hicks. estate consists two farms. one called neck rented lease three years yearly rent £200 farm thinks worth thousand pounds know rents. information yet able obtain. resolutions preventing commerce intercourse enemy empowering judges officers courts admiralty interfere find dates novr. 25 1775 march 23 april 3 1776 march 27 decr. 4 1781 july 17 1782. 1 mrs thomson joins love cousin mary sally maria. january 10 1786 dear sir sincere affectionate friend cha thomson p.s. mrs recd mrs 's letter 31 decr answer soon ``
13570,`` nathan dane unknown dear sir 1 n. york jan. 10. 1786. honor introduce agreeable gentleman mention correspondence us convenient seasons. improved favor sooner waiting thing occur worth communicating little nothing. since arrival assembled congress seven states time sometimes six whence important affairs union come consideration nothing consequence agitated considered congress. admitted mr. temple form see b oston paper -- hands agreed prudent measure considering present peculiar disposition two nations towards. mr. hancock soon choice notified acceptance presidency congress. expected soon arrive delegates states individually way information. enquired daily many persons respecting arrival reported time time way. yesterday informed letter friend 2d month home confined ill state health. disposition vesting commercial powers congress appears general particularly southern states expected find. nine states n. hampshire massachusetts r. island connecticut n. york pennsylva maryland virginia north carolina except new hampshire r island adopted resolve congr. apr. 30 1784 -- terms -- two states gone far resolve required -- said states adopt -- think unfortunate circumstance system federal commercial powers recommended resolve better digested adequate purposes intended. many sensible men appear wish commer- january 10 1786 cial powers vested congress exercised occasion may require think ought frugal commercial restorations regulations adopt pressing occasions. beleived n. york winter adopt grant continental impost must georgia adopt r. island alter act granting two small states stand voice rest. see many pieces boston papers reprinted states reflect little conduct legislature last session respecting valuation postponement late requisition absentees c. massachusetts deservedly influence respectability present union opinion deeply interested preserving. sorry general court struggle valuation respective towns great many rude attacks upon never tend reform wound feelings irritate others increase expose discords lessen us eyes world ``
13571,`` pierse long john langdon sir new york jany. 11t. 1786 letter excelly. 30th novr. honr. enclose agreable directions return states -- complied wit- recommendation congress 30th april 84 -- secy. perusing book minutes found fully complied request might done manner several states information wished moved congress order head secys report passed -- honr. enclose one said reports excellys. use. 1 great regard esteem excellencys obt. hum servt pierse long january 13 1786 ``
13572,`` charles thomson states sir circular office secretary congress jany. 12th. 1786. honor transmit excellency herewith enclosed copy report made congress obedience order 2d month. 1 omitted acts passed state compliance recommendations specified order shall take favour excellency pleased inform thereof transmit copy acts omitted. great respect c. ``
13573,`` charles thomson john bayard sir office secretary congress jany. 13th. 1786. examined sets laws sent state find considerable chasm. bound vol. contains laws declaration independance october 1781 inclusive -- three pamphlets contain laws passed 1784 1785 beginning ch. 163 continuing ch. 242 inclusive. shall much obliged interest copies laws passed october 1781 oct. 1784 passed last session. 1 great respect c. january 18 1786 ``
13574,`` david ramsay john eliot dear sir new-york. jany 18th 1786 accept thanks friendly letter mr gorham containing also mr gardiners oration. 1 happy power repay friendly attention furnishing copies boston orations. 2 work engaged attention five years past published. contains history late war southern states two octavo volumes price four dollars. wait opportunity send copies boston sale shall time request favor accept one copy tokn sincere esteem regard. expense land conveyance would much. therefore loss get boston. bound ready sent could hit proper mode conveyance. many copies would advise send. route would propose. addressed. work much demand limited southern war nevertheless first published suppose copies might disposed. shall endeavor pay boston visit winter next spring return carolina. seven states represented congress course proceed languidly business. hope two three course days. president hancock come. long see shall great pleasure resign chair occupy absence. sincerely sorry many restrictions trade languishes. though southern states suffer less eastern yet great interest vesting congress com petent powers regulate commerce. present respectful compliments mrs. elliot beleive great regard esteem obed sert affectionate friend david ramsay ``
13575,"`` david ramsay william gordon sir new-york jany 18th 1786 last published work deliverd mr hazard complete copy sheets forwarded beg acceptance. unacquaintd roads eastward presumed mr hazard could forward copy much sooner could. knew would send forty fifty copies boston sale loss conveyance make use. sent sixteen hundred copies sheets dilly london advertised new-york three days ago. yet form conjecture sales opinion trade author poor one new world. advances replaced till sold 500 copies debts contracted yet unpaid require sale seven hundred. edition cost 5,500 dollars. printers bill 2500 dollars. engravings 800 binding 4/10 copy. short brilliant pecuniary prospects. fear plan requiring previous payment hurt subscription work. 1 flatter scarcity dollars considerable reason sales little productive. hold still stronger nothing given subscriber receipt book delivered future period. many hundred citizens states advance even three dollars would inconvenient. accomplish work without requiring advance would much interest. pardon liberty take giving advice. asked engravers reserve plates seemed averse said would deliver number copies reasonable price. wish success shall recommend acquaintances become subscribers work fear little profit arise american sales books mine. point pecuniary interest would exchange prospects profits benefit nights new york theatre. present best respects mrs. gordon believe respectfully david ramsay ``"
