,TCP,Year,Title,Content
225,dg001237,1775,Silas Deane to Patrick Henry,"""Silas Deane to Patrick Henry   Wethersfield in Connecticut, January 2d, 1775. Nothing has been heard to predict the fate of Boston or the disposition of the North Ministry. Boston is firm; the New England militia prepared. The Governor has received orders to seize arms imported into Connecticut.(1) \""We have received an acc [oun] t of a severe Battle fought on the Banks of the Ohio between your people and the Indians.... A Number of Inhabitants from this Colony would adventure on a Settlement on the Ohio if properly informed and encouraged.\"" Discusses western lands at length. \""Returning to Politics, you will see that the Massachusetts, New Hampshire, Rhode Island, Connecticut, have reappointed their Delegates for May, with the addition of some others to their Number.\"" Sends papers pertaining to the early New England charters, and dis cusses the New England Confederation, 1643-85. \""I need not mention to you what would have been the Consequences had this Con federation have continued untill now, and the other Colonies early acceded to it--it is not too late to form such an one that will suit Our present Circumstances & which being varied as future Contingences arise may last forever. Something of this kind appears most absolutely necessary, let Us turn which way We will. If a reconciliation with G Britain takes place, it will be obtained on the best terms, by the Colonies being united, and be the more like to be preserved, on just and equal Terms; if no reconciliation is to be had without a Confed- eration We are ruined to all intents and purposes. United We stand, divided We fall, is our motto and must be. One general Congress has brought the Colonies to be acquainted with each other, and I am in hopes another may effect a lasting Confederation which will need nothing, perhaps, but time, to mature it into a complete & perfect American Constitution, the only proper one for Us, whether connect ed with Great Britain, or Not. A Sketch of this I likewise send you with the papers mentioned before.\"" Describes \""the method of settling and governing\"" in New England. \""If you are near Col. Bland, I pray you the favor, to obtain of him, and send me\"" several papers on early Virginia history which he \""was kind enough to offer Me.\"" \""There is No such thing as procuring a good History of Virginia in this Colony; I shall be greatly obliged to You to send Me the most Authentic extant, and in return will favor you with the History of New England in general, but of Connecticut in particular, which will be soon sent to the press.... I shall forward this packet to Mr. Mifllin, to whom I have wrote, to send it by some private, but Trusty hand, to Virginia. To his Care, please to direct your Answer, unless some more direct conveyance offer. I ought perhaps to mention, that We returned during the sitting of our Gen JANUARY 2, 1775  eral Assembly, who most Unanimously approved of the doings of the Congress, and recommended the Association to the strict observance of the Inhabitants, who universally and without hesitation have de- termined to abide thereby. Please to present my compliments to the Gentlemen with whom I had the happiness of being acquainted in Congress, if you see them.\"" MS not found; abstracted from NYHS Collections 19 (1887): 33 42. 1 Dartmouth's circular letter to the governors, October 19, 1774, is printed in Am. Archives, 4th ser. 1:881.""
"
226,dg001238,1775,Samuel Adams to William and Thomas Bradford,"""Samuel Adams to William and Thomas Bradford   Gentlemen Boston Jan. 7 1775 I have lately receivd your (1) favor of the 6 Decr by the Post, advising me of your having shipped to my Care on board the Captains Glover and Johnson two boxes containing in the whole 350 Journals of Congress. I have since been informd that they are arrivd in Salem, and expect daily to receive them. I shall observe your Directions to dispose of one to each of the Gentlemen you have mentiond, and make the best & most speedy Sale of the others. I am with due Regard Gentlemen Your humble servt. Saml Adams ""
"
227,dg001239,1775,South Carolina Delegates Report to the Carolina Provincial Congress,"""South Carolina Delegates' Report to the Carolina Provincial Congress   [Charlestown, January 11, 1775] Our Delegates from Congress being present, the proceedings of that body at Philadelphia were taken into consideration; and many questions were proposed to them relative to various parts of the proceedings; to which, answers and explanations were given by them. One of the most important of these was, why, at a time when a number of gentlemen were sent to Congress, from all parts of America, for the express purpose of considering and stating the American grievances; and for devising the proper means, of redressing them; why, did they limit their researches to the year 1763; and not trace back, as could easily have been done, the many aggressions which JANUARY 11, 1775  had been committed by Great Britain upon her infant Colonies; in the jealousies, monopolies, and prohibitions, with which she was so prodigal towards them; for the express purpose of depressing their population--confining their trade--and crippling their attempts, at even the most domestic and necessary manufactures? To this it was answered, that our Delegates were willing to have stated all the griev- ances, as were the greater part of the other Delegates; but the people of Virginia would not retrospect farther back, than 1763, being limited in their powers.(1) And, although they did not avow the reason; yet, it was privately declared, it had been agreed upon at home, not to go beyond that year, as thereby, the greater odium would be thrown upon the reign of George III--which was so fatal to the peace of America. The Delegates farther answered, it was then pressed in Congress, that the other Colonies should, in this measure, act independently of Virginia; but Maryland and North-Carolina represented, that as their exports were similar to those of Virginia, so, they could not with any advantage to the common cause act independently of her; for, their own commodities would be carried to the Virginian ports; which, would run away with all their trade. And, that in this manner, was the measure of stating all the grievances, defeated. The articles of association determined upon by Congress, and recommended to the Provincial Conventions and Congresses to be carried into execution, now came on to be considered: and the four last words of the fourth article of that instrument, (\""except rice to Europe,\"") gave room for a long and a violent debate. This exception had created an alarming disunion, throughout the whole Colony; in consequence of which, the Representatives had met, with jealous feelings on the subject; as by that article of the Association, it was contracted that, after the 10th day of September 1775, America \""will not directly or indirectly export any merchandize or commodity whatsoever, to Great Britain, Ireland, or the West Indies, except rice to Europe.\"" This exception had given so general a disgust, that the whole interior of the province, considered their interests as sacrificed to the emolument of the rice planters; and, accordingly, a motion was made and seconded \""that the Delegates to be elected, use their utmost endeavours at the ensuing Congress at Philadelphia to cause those words to be expunged.\""(2) Mr. Gadsden, then rose, and explained to the Congress, what had taken place in the Continental Congress, during the passage of the obnoxious exception. He said he thought it was his duty to declare, he had not any hand in causing those words to stand in the instrument of association--that, they had well nigh occasioned a division in Congress And, so ill was a proposition of that nature received, that it had occasioned a cessation from business for several days; in  order to give our deputies time, to recollect themselves. That when the association was completing, and the members of Congress were signing that instrument, all our Deputies, but himself, withdrew. That he would have been glad of the honour, of signing his name alone, and for doing so, would have trusted to the generosity of his constituents. That he had offered to do so: and, that Carolina was on the point of being excluded the association, when our Deputies being again summoned by the Secretary, they returned into Congress, yielding up the article of indigo: and that Congress only for the sake of preserving the union of America, allowed the article rice to be added to the association. That this however, was illy received by the other Colonies, who had thence, become jealous of the rice Colonies: and therefore, it was his opinion, that for the common good, as well as our own honour, we ought to remove this as soon as possible, by having the words \""except rice to Europe\"" struck out, of the fourth article of the association. Mr. John Rutledge now undertook his own defence, and that of his three associates. He said, that at an early period he and the other Delegates from this Colony had warmly pressed an immediate non importation, and total non-exportation. That, as a non-exportation to Great Britain and Ireland, was to withhold from thence, the advantages their people might acquire from a receipt of American com modities; so, the end would be more surely effected, by retaining those commodities altogether in America. Such measures however, could not be effected; the Northern Colonies resolving to remit to England, as usual, to pay their debts by the circuitous mode of their flour and fish trade to the rest of Europe. In short, the commodities they usually sent to the mother country were but trifling; and their real trade, would be but little affected by the association. For instance, Philadelphia carried on a trade of export, to the amount of £700,000 Sterling; whereas, scarce £50,000 value of it, went to the market of the mother country. That, as it was evident, those Colonies were less intent to annoy the mother country in the article of trade, than to preserve their own trade: so, he thought it was but justice to his constituents, to preserve to them their trade, as entire as possible. That, as the Northern trade would be but little affected by the association, he saw no reason why ours should be almost ruined; for, nearly all our indigo, and two thirds of our rice, went to the ports of the mother country. That, if we must bear burdens in the cause of America, they ought to be as equally laid as possible. Upon the whole, he said the affair seemed rather like a commercial scheme, among the flour Colonies, to find a better vent for their flour through the British Channel; by preventing, if possible, any rice from being sent to those markets: and, that for his part, he could never consent to our becoming dupes to the people of the north; or, in the least, to JANUARY 14, 1775  yield to their unreasonable expectations. That, as by the association, the rice planters preserved their property; so it had been the idea of the Delegates at the Congress, that they should make compensation to the indigo planters, who could not send their crops to the mother country. Such a plan, was just, and practicable; and it ought to be the subject of our debate--rather than expunging the means of exporting a great part of our annual crop; and therewith, supplying ourselves with those necessaries we might require.(3) MS not found; reprinted from John Drayton, ed., Memoirs of the American Revolution . . ., 2 vols. (Charleston, S. C.: A. E. Miller, 1821), 1:167-71. 1 On this point, see Samuel Ward to John Dickinson, December 14, 1774, note 3. 2 Not only did the Provincial Congress fail to adopt this motion, but on January 12 it defeated, by a vote of 87 to 75, the motion by Christopher Gadsden, mentioned in the next paragraph, to approve the association only after deleting from it the provision exempting rice from the nonexportation agreement. Drayton, Memoirs of the American Revolution, 1:172-73. 3 The Provincial Congress approved Rutledge's suggestion for a compensation plan but extended it to include--in addition to indigo growers--producers of hemp, corn, flour, lumber, pork, and butter. Drayton, Memoirs of the American Revolution, 1:173-76; William Edwin Hemphill and Wylma Anne Wates, eds., Extracts from the Journals of the Provincial Congresses of South Carolina, 1775-1776 (Columbia, S. C.: State Commercial Printing Co., 1960), pp. 24-26.""
"
229,dg001241,1775,John Adams to a Friend in London,"""John Adams to a Friend in London   January 21, 1775 You have no doubt, long before this time, heard the particulars of the General Congress, and that the court and the country have digested their thoughts upon them, if not adopted their consequent plans of conduct.(1) God grant that the nation and parliament may think favourably of them, and grant the prayer of our petition to the King. Britain and America are made to be friends; and it is the most unnatural, detestable quarrel between them that ever happened in the world. Britons and Americans may write or say what will, but this JANUARY 21, 1775  quarrel never will and never can be made up, but by restoring us to the state we were in, in 1763. It is as certain as that London or Boston exist, that no other plan or scheme of policy that ever can be invented will keep the two countries together, but that which nature dictated, and which experience found useful for 150 years. It is in vain, it is delirium, it is frenzy to think of dragooning three millions of English people out of their liberties, at the distance of 3000 miles. It is still more extravagantly wild for a nation to think of doing it, when itself is sinking down into a bottomless gulph of debt, in order to make the conquered lift her out of it. The Congress have drawn a line by the banks of the ocean. They have claimed their own exclusive jurisdiction in all interior concerns, and in all cases of taxation. They have left to Great Britain the exclusive sovereignty of the ocean, and over their trade. They have placed both upon constitutional principles; and if Britons are not content with all we have but our liberty, we say as the corporation of London said to the King in 1770, \""We call God and men to witness, that as we do not owe our liberty to those nice and subtle distinctions which pensions and lucrative employments have invented, so neither will we be deprived of it by them; but as it was gained by the stern virtue of our ancestors, by the virtue of their descendants it shall be preserved.\"" The Congress consisted of the representatives of twelve colonies.(2) Three millions of free white people were there represented. Many of the members were gentlemen of ample fortunes and eminent abilities. Neither corruption nor intrigue had any share, I believe, in their elections to this service, and in their proceedings you may see the sense, the temper and principles of America, and which she will support and defend, ever by force of arms, if no other means will do. The state of this province is a great curiosity: I wish the pen of some able historian may transmit it to posterity. Four hundred thou sand people are in a state of nature, and yet as still and peaceable at present as ever they were when government was in full vigour. We have neither legislators nor magistrates, nor executive officers. We have no officers but military ones. Of these we have a multitude chosen by the people, and exercising them with more authority and spirit than ever any did who had commissions from a Governor. The town of Boston is a spectacle worthy of the attention of a deity, suffering amazing distress, yet determined to endure as much as human nature can, rather than betray America and posterity. General Gage's army is sickly, and extremely addicted to desertion. What would they be if things were brought to extremities? Do you think such an army would march through our woods and thickets and country villages to cut the throats of honest people contending for liberty?  The neighbouring colonies of New Hampshire, Rhode Island, and Connecticut, are arming and training themselves with great spirit, and if they must be driven to the last appeal, devoutly praying for the protection of heaven. There is a spirit prevailing here, such as I never saw before. I remember the conquest of Louisburg in 1745; I remember the spirit here when the Duke d'Anville's squadron was upon this coast, when forty thousand men marched down to Boston, and were mustered and numbered upon the common, compleat in arms, from this province only in three weeks; but I remember nothing like what I have seen these six months past. MS not found; reprinted from The Remembrancer, or Impartial Repository of Public Events, 17 vols. (London: J. Almon, 1775-84), 1:10-11. Published by Almon under the caption \""A Letter from a Gentleman in the Province of Massachusetts, to his Friend in London,\"" but identified as the work of John Adams when translated into Dutch and reprinted in John Adams, Geschiedenis van het Geschil tusschen Groot-Britannie en Amerika, zedert deszelfs Oorsprong, in den Jaare 1754, tot op den Tegen-Woordigen Tijd (Amsterdam- W. Holtrop, 1782), pp. viii, 145-50, 1 The recipient of this letter has not been identified. Adams' correspondents in England included a number of political liberals such as the writer James Burgh and publisher Edward Dilly (1732-79). This letter was published in Almon's Remembrancer with a second letter dated February 10, 1775, both of which may have been written to the same person, and may well have been composed with an eye to publication. 2 Georgia was not represented until the Second Continental Congress met in May 1775, when Lyman Hall arrived as a delegate from St. John's Parish.""
"
230,dg001242,1775,Thomas Johnson Jr to Samuel Purviance Jr,"""Thomas Johnson, Jr., to Samuel Purviance, Jr.   Dr. Sr. Annapo 23 Jany 1775. I do not know who besides Mr Cushing I could with any propriety write to. I have however not forborn writing to others from a meer point of Delecasy but because if a Letter from me can weigh a single Grain I am almost sure Mr Cushing will candidly show it, let him be of what Sentim [en] t he may himself, though I am apt to believe you (1) and he and I could very nearly say our political prayers together. I dare say if J Dickenson knows any Thing of choosing a Govr. is in Agitation he has already wrote his Sentimts. If not a single Line from you will I dare say induce both him & Mr. Mifflin to write but I question not only whether Ltrs from any of us may not be too late but also whether there may not be such an Alteration of Circumstances as to make letters even prudent; if Intelligence from England is any way favourable I don't imagine that the Quest [io] n will be strained at all in their Congress, but if the Resolu[tion]s of parl. JANUARY 23, 1775  cutt off all Hope of a peaceable Settlemt. & they shd. be advised of them as they [are] expected by Febry. you may depend on it the N E people will try their Strength even were they sure to go alone and will endeavr. if possible to get rid of the Troops now at Boston before they can be joined by any more. They will you may be sure resume and endeavour to settle an internal Governmt. to collect and draw their Strength to a point which will be most essentially necessary in Case of any Misfortune or Disappoint[ment] in the Outset. You will be pleased to peruse the Ltr I write to Mr. Cushing and if my Sentimts. correspond with yours seal and forward it. We now stand on a very ticklish point of Time. I really wish every Thing could be kept just moving till we hear from thence & that if the least prospect of Accomod[atio]n opens we may prudently cultivate & improve the Occasion. But if no Hope is left our own Resolutions ought to be ready formed in our own Minds. It will be a great Question whether we shall resolve to continue the present Appearances of Governmt. which indeed is not strong enough to protect agt. Violence and is only treated with Respect from principle by those from whom Violences need not be apprehended & which must necessarily be a Clogg in our Motions so long as it continues, or whether a real substantial active Governmt. coinciding with the Views of America shall be established by Consent. I need not observe to you that the freedom with which I write to you claims your utmost Discretion and the Subject your mature Thoughts. No Man in the British Dominions more passionately wishes for a Reconciliation than myself but if the terms are so hard as Slavery to America I have formed my Resolution and am clear for employing every Means of Self Defence. If the Report is true that 10 or even 4,000 Men more are to be sent to Boston I do not know that we ought if we could to stay the Hands of the N E people till their Arrival. The Season of the Year may afford an Oppty that if lost may be lost forever. I am sure if they must fight it out I cannot blame them for taking every Advantage, and the Time appointed for their Convention with what I have collected of the Dispo [sition] of the people pretty well explain to me their Intentions. I heard some Time since of the Appointmt of field Officers. I am very sorry to understand that Ammunition is wanting. I wish some of the Ingenious amongst you would bestow some Thoughts and Experiments on Salt Petre & Sulphur. I have little Doubt but that we might supply ourselves amply with both. You judged right that I had Nothing to do with the cursed Hand Bills.(2) The ill timed Resolution here has done us a real Disservice. I as well as many others are greatly embarrassed by it. I cannot execute a Measure so flatly agt. my best informed Opinion & am sure a pursuit of it will throw us into Divisions which we shall not be able to erase within Ourselves. S[amuel] C[hase] went alone in it not only  witht. any of the Comee except M[atthias] Hammond (3) that I know of but the Sentiment was expressly disapproved by several of us. I do not know any more likely Way to put the people on thinking than for several of us to withdraw from the Commee which I believe we shall do. They will at first Beware but I am in Hopes it will make them a little more cautious. This Humour of serving people will if not checked Spread itself so as to be very inconvenient. I learn from Fred[cric]k that small parties of unthinking Men are forcing others to enrol who are principled agt. bearing Arms. The people at large are not a Body fit for Deliberation, they are gen[era]lly carried away with a warmth of Zeal that overleaps sedate & wise policy. Several with us will not subscribe meerly because of the Threat & some who very freely subscribed declare they will not pay their Money for the same Reason; had it not been for this unlucky flight I beleive we shd. have raised our Money witht. difficulty. As it is I am afraid we shall not. Genl. Lees Observations (4) will soon be printed but he esteems the manual Exercise (5) of very little Consequence he does not even touch upon it: his chief view is to prove the best Line of Fire consists only of two deep and Major Gates is fully in Sentimt with him & to give the simplest and easiest Directions for forming a Line of Impression or Resistance of 4, 6, or 8 Deep. It has been delayed so long to get a plate cut. We go on with good Spirit in our Compys. We have but two in Town. We have some surplus men but not eno. if every Body would enrol to make up a third Compy. A good many perform the manual Exercise, which is done with us in the prussian Manner & differs but little from yours, with dexterity. The Country people of our County show an unexpected forwardness. I am satisfied you will make all the allowance you ought for my taciturnity but I am really ashamed that you have so much Cause of Complaint against me for intire Silence. When I write you at all I leave Nothing behind which I think worth mentioning. I am Sr. Your Affect. hble Servt. Th Johnson Junr [P.S.] You will Notice that I have not stated the Matter fully to Mr Cushing but left it as if nothing had been yet moved in the Convention. I think any Argumt. from my Ltr will be the stronger. ""
"
231,dg001243,1775,Thomas Johnson Jr to George Washington,""" Thomas Johnson, Jr., to George Washington   Annapo [lis], 24 Jany 1775. Has received \""by Mr. Stewart\"" two letters from Washington dated January 20, 1775, which apparently dealt with plans for improving the navigability of the Potomac, and discussed them with \""Mr. Ballendine.\"" Promises to use his influence to convince the Maryland Assembly \""to get a Bill passed here similar to yours [i.e., Virginia's]\"" concerning the navigation of the Potomac.(1) Concludes: \""Genl Lees plan has been delayed some Time for a plate. I am told it is now nearly done & I hope to have the pleasure of sending you some Copies soon. There has been more Alacrity shewn by our people than I expected but we are but illy prepared with Arms &c. I am apprehensive that the Vigilance of the Govt. at Home will make it necessary for us to turn our Thoughts to wards an internal Supply of Materials.\"" ""
"
232,dg001244,1775,John Dickinson to Thomas Cushing,"""John Dickinson to Thomas Cushing   Dear Sir, Fairhill January 26th 1775 I have lately been inform'd, that a considerable part of your Province, are determined to resume the old Charter, and chuse a Governor &c. This Intelligence has given Me inexpressible Pain of Mind, as it has in my Opinion an evident Tendency to break the present Harmony of the Colonies, and to strike dumb our Friends in England, who JANUARY 26, 1775  are strengthening themselves with Accessions of new Favorers of our Cause, chiefly from the Temper with which our Opposition has been carried on. Why should a prudent People take a Step so full of the most dangerous Disunion? Will it add a single Man to our Cause? Will it not take off many from it? Will it not cool the Affections of many who are now well dispos'd? I am convinc'd beyond all Doubt, that it will inevitably produce these Effects. Some brave and worthy Men among You may with laudable Intentions in their Design, despise the Sentiments of their Friends in the other Colonies & in England, because they may suppose their Country able to resist successfully all the Efforts of Great Britain. But have they no Compassion for those who may by such a Resolution be involv'd in the Calamities of War? And will not such a Provocation in all human probability lead to that Event? I implore You, my dear Sir, in the Name of Almighty God to discourage by all the Means in your Power, this, not only useless, but pernicious Scheme. Our Province cannot yet bear the Thoughts of arming for Fear of Dissensions. The Execution of the Design agitated among You, will have Effects, the Extent of which cannot be calcu- lated. I beseech You to prevent any fresh Fuel from being thrown into a Fire already sufficiently raging. I am, Dear Sir, your truly affectionate Friend John Dickinson ""
"
233,dg001245,1775,John Dickinson to Samuel Ward,"""John Dickinson to Samuel Ward   Dear Sir, Fairhill January 29th. 1775 Several Causes have prevented Me from answering as early as I wishd, your Favour of the last Month,(1) for which and the Intelligence contain'd in it, I am much oblig'd to You. The Instructions to your Delegates appointed for the next Congress, appear to me, to be exceedingly proper, and I heartily wish, every Colony may give as full Authority to her Delegates. On this Subject, We have some Apprehensions in our Province. A Party who have considerable Weight in our Assembly, have been greatly alarm'd at the vote, approving generally the proceedings of the late Congress, and are determined, if it be possible, to stop all vigorous proceedings, by prevailing on the Assembly to give very restrictive Instructions to the Delegates appointed for the next Congress. Our Assembly meets on the 20th of next Month; and according to the best Opinion I can form, a good Deal of Delicacy will be requir'd in managing this Affair.(2) Our Provincial Convention has lately been called; and considering FEBRUARY 4, 1775  the peculiar Circumstances of this Province, I heartily wish, their Meeting had been delayed. You will see their proceedings in the Paper. Nothing more could be done at this Time, with Prudence. The great Point, at present, is to keep up the appearance of an unbroken Harmony in public measures, for fear of encouraging Great Britain to Hostilities, which, otherwise, she would avoid. When she has made her Choice, and it proves inimical, I hope every Man of Sense & Virtue in America will draw his Sword, without any Regard for the yet respectable Doctrine of Disunion. May infinite Goodness avert the occasion; but if that period arrives, I firmly believe, this Province will by its spirited Exertions merit the Esteem of every honest Colonist. I am Dear Sir, with great truth, your very affectionate humble Servant John Dickinson [P.S.] Please to present my Compliments to your Brother. I shall be oblig'd to You, Sir, if You will not let any person have a Copy of this or any other Letter I may trouble You with--or of any Sentences in it. ""
"
234,dg001246,1775,Richard Henry Lee to Samuel Adams,"""Richard Henry Lee to Samuel Adams   Virginia 4th February 1775. Discusses conditions in Virginia. Continues: \""You have no doubt seen the speech to Parliament, and from thence may judge what our Ministerial enemies propose for us. \""A letter from London 6th of December says 'the present intention of the Ministry is to declare all meetings and associations in America illegal and treasonable--To guard the Coast against all Traffic and Communication with Holland, France, and Spain. To corrupt N. York, and to employ a military force, chiefly from Canada if necessary. Having their designs before you, your attention will be bent to defeat them with all earnestness which the greatest question in the world demands.' \""Added to this, I understand they propose to forfiet and confiscate all the estates of all those who meet, associate, or combine against the Commerce of Gt. Britain! Should such Acts pass, will it not be proper for all America to declare them essentially vile and void, and that whoever takes or claims any Estate so said to be forfieted, shall be deemed a public Enemy and that it shall be meretorious in any FEBRUARY 4, 1775  person to put such Claimant to death? This would probably deter, and defeat the wicked design. I find the Ministerial Manoeuvre of dissolving the Parliament, has, notwithstanding the timely warning of Junius, answered their purpose so far as to rest the matter now on the firmness of our own virtue, or on the general exertion of the people of England. Tho' the latter should fail us, I hope the former will be immovable.\"" Concludes with plea for news from Massachusetts. ""
"
235,dg001247,1775,Samuel Chase to James Duane,"""Samuel Chase to James Duane   Dear Sir Annapolis. Febry. 5th. 1775 It is with Pleasure I acknowledge the Receipt of your Letter of 29th December. I am much obliged for your free & unreserved Communication of Sentiment, and would have answered it sooner, if my absence from this City and several Reasons had not prevented Me. From an entire & perfect Approbation of the Resolve of the Congress, that if the late Acts of Parliamt. relative to the Massachusetts Bay should be attempted to be carried into Execution by force, that in such Case all America ought to support that Colony in her Opposition; From the Declaration by the Congress to the Throne, that our accumulated Injuries were too severe to be any longer tolerable, & that our Militia would protect Us in Time of Peace; From a Concurrence with the Sentiments expressed to the Inhabitants of Quebec, that We were resolved never to resign our Rights but with our Lives, and to the People of G. Britain, that We never would submit to be Hewers of Wood or Drawers of Water for any Ministry or Nation in the World; In Compliance with the advice of the Congress, to extend our Views to the most unhappy Event, & to be in all Respects prepared for every Contingency; From the Consideration of our defenceless State, unable to protect Ourselves, or assist our Friends; From a firm persuasion that a Militia was the proper military force, & Arms and Ammunition the only Means, to defend & secure our Liberties; From a Conviction that to be prepared for a Civil War, is the finest & most effectual Means to prevent one, and for many other Reasons, our provincial Convention passed the Resolutions, which I enclosed You in my last Letter. We must either resist or infamously submit. If We are resolved to resist, & to defend our Liberties at the Risque of our Lives, a military force & Arms and Ammunition are the only Means. To resolve to resist, without making the necessary Preparations for Resistance, ap FEBRUARY 5, 1775  pears to Me to be weak, & a Deception to ourselves & our Friends. I have been for some Time strongly impressed with a Belief, that the present unhappy Dispute with Great Britain would not wait the Event of a commercial Opposition, and that she must either give up the Right of Taxing America, or enforce obedience by the Sword. Delay must ruin the Minister. Some decisive Mode must be adopted, & instantly executed, or he must fail. Lord North is too well ac quainted with his Weakness; he must be convinced that the Colonies, if they adhere to their association, must succeed. If the Question was to be decided by Justice or Policy, I should not doubt, that our in dubitable Rights would be restored, our Capital Grievances redressed, and peace and Harmony once more established with the Mother Country; but when I reflect on the enormous Influence of The Crown, the System of Corruption introduced as the Art of Government, The Venality of the Electors (the radical Source of every other Evil) the open & repeated Violations, by Parliament, of the Constitution, at Home, The regular, arbitrary System of Colony administration, The several Acts relative to the Massachusetts, The Quebec Bill, and The Re-election of the Members of the last Parliament, I have not the least Dawn of Hope in the Justice, Humanity, Wisdom or Virtue of the British Nation. I consider them as one of the most abandon'd & wicked People under the Sun. They openly sell themselves & their Posterity to their Representatives, who as openly traffic their Integrety & Honor to The Minister. The Roman Senate in the Reigns of Claudius Caesar, Domitian or Nero, were not more servilely wicked, than the present House of Commons. They no longer regard even the Appearance of Virtue. Our Dependance must be on God & ourselves. I still retain my Opinion, that the Right of Parliamt. to regulate our Trade ought to be acknowledged in the most precise and explicit Terms, and shall deliver the same Sentiment, if called on, in my leg- islative Capacity. You are pleased to ask Me, what plan of Union is to be adopted, or what Conduct an Assembly can pursue, which wod. be acceptable in every Colony. Your Candor entitles You to an Answer. If our Assembly was called, & those Questions proposed, I should be very averse to take them into Consideration; I would, if possible, decline Giving any pointed Answers, & endeavor to refer a Subject of such Importance & in which all America is so deeply interested, to the next Congress. If I could not prevail, I would claim a free & exclusive power of Legislation, in all Cases of Taxation & internal Polity; I would expressly deny a Right in Parliament to make any Laws to bind the Colonies, except only for the Regulation of their Trade: The Right bona fide to regulate our Commerce [ would recognize in the most clear and express Terms. Without such Claim by the Colonists they can neither be free nor happy; without such  Admission to Parliament they must be independent, &, in my Opinion, Justice and Policy require the Concession. As the power to regulate our Trade would, in many Instances, be ineffectual, without a Right also to lay Duties for that purpose, I wod. also allow an Imposition of Duties, on this express Condition, that the Duties so laid should be collected by the old Officers of the Customs, & to be at the sole Disposal of the provincial assembly, where such Duties were payable. I would demand a Repeal of all Acts of Parliament inconsistent with those Principles, I mean, which any Way interfere with our internal Polity or impose Taxes. I would engage in Case of War to raise forces, and grant Supplies, according to our ability. You seem to have well considered the Arguments for and against a certain Plan for an American Legislature. Such plan can only be necessary to remedy a Defect in the Constitution of the Colonies, to provide for Cases which respect G. B. & the Colonies jointly, and in which it wod. be dangerous to admit the Parliament to interfere, & for which the provincial Legislatures are not competent. The Cases which at present occur, are, the Regulation of Trade, and the Granting Supplies & raising Troops in Case of War. As to the first. The plan wod. be unnecessary by an admission of a Right in Parliament, where I would chuse to lodge it, if I had my Election. The Interests of the No[r]thern & Southern Colonies, as to their Trade, from local & other Circumstances, would frequently interfere. The Argument, that Parliament would abuse their Power, has no Weight with Me, & would equally extend to the Vesting of it in any Body. As to the second. It is founded on a Supposition, which I can never admit, that the Colonies would not do their Duty, would not consider their Interests as connected with the Welfare & prosperity of G. B. & would not provide for their own safety. I am convinced it is only a Pretence by the Minister, & that if a Right to tax America was once given up, We should hear no more on that Head. I am greatly alarmed at the Vote of your House of Commons, & am anxious to hear the Result of their proceedings.(1) The martial Ardor prevails very generally here. Above 100 Companies, of 81 Men each, are already formed on the western Shore of this Province. Colo. Washington in a Letter of 6th Jany, writes \""In this County, Prince William, Loudoun, Faquier, Berkely, & many others round about them, a noble Ardour prevails. Men are forming themselves into independent Companies, chusing their officers, arming, Equipping, & training for the worst Event. The last Appeal!\"" Lord Dunmore prorogued the Assembly of Virginia from 2nd. of this Month, to May, but I hear, by Letter, that their Representatives are now sitting in Convention. I shall be very glad to hear from You frequently & shall only add, FEBRUARY 6, 1775  after requesting my most respectful Compliments to Mesrs. Jay, Low & Alsop, that I am [with] great Sincerity Your Affectionate and Obedient Servant, Saml. Chase. ""
"
