,TCP,Year,Title,Content
2986,dg0061,1777,Samuel Adams to James Warren,"""Samuel Adams to James Warren
 JANUARY 1, 1777  My dear Sir Baltimore Jany 1. 1777 I am determind to omit no opportunity of writing to you although I have very seldom of late receivd a Letter from you. Your second Favor came to my hands a few days ago, inclosing Copies of Papers from Spain. I am much obligd to you for them. Our Affairs in Europe look well, and additional Measures have been taken here, to establish them in that Part of the World on a solid Foundation. I assure you, Business has been done since we came to this place, more to my Satisfaction than any or every Thing done before, excepting the Declaration of Independence which should have been made immediately after the l9th of April 75. Our Ministers abroad are directed to assure foreign Courts, that notwithstanding the artful and insidious Representations of the Emissaries of Britain to the Contrary, the Congress and People of the United States are determind to maintain their Independence at all Events.(1) This was done before the Success of our Arms in Jersey, of which you will doubtless have receivd Intelligence before this Letter will reach you. Generals Sullivan and Green commanded the two Divisions. The Enemy had before made Lee a Prisoner; but we have convincd them that great as his Abilities are we can beat them without him. I now think that Britain will make a contemptible Figure in America & Europe, but we must still make our utmost Exertions. Pray let the Levies required by our State be raisd with all possible Expedition. By this Conveyance you will have a Resolution vesting large Powers in General Washington, for a limitted time.(2) It became in my opinion necessary. The Hint I gave you some time ago I still think very important. Genl Gates arrivd here the day before yesterday. I have conversd with him upon it. He told me he had conceivd it before and wishes the Measure may be tryed. It requires Secrecy and Dispatch.(3) Lt Colo Stuart will set off tomorrow with Directions to proceed as far as Boston to purchase ordnance and other Stores, if they cannot be procured elsewhere. He is General Gates Aid de Camp & is very clever. I wish you would take Notice of him.(4)  But I am now called off. Adieu my Friend.  ""
"
2987,dg0062,1777,Benjamin Franklin,"""Benjamin Franklin
  Honble. Sir Baltimore 1 January 1777  Congress relying on your wisdom and integrity, and well knowing the great importance of the case, have appointed you their Commissioner to negotiate a treaty of friendship & commerce with the Court of Spain. The idea of Congress on this subject you will find in the instructions of Congress sent by this opportunity to yourself and the other Commissioners at the Court of France. Your Commission for this special service we have now the honor to inclose you.(1)  We are with great Respect & Esteem, Honble. Sir, Yr. most obedt. & very huml Servts.  Benja Harrison Jno Witherspoon  Richard Henry Lee Will Hooper ""
"
2988,dg0063,1777,Elbridge Gerry to Joseph Hawley,"""Elbridge Gerry to Joseph Hawley
  My dear Sir Baltimore 1 Jany 1777 I have just Time to inclose You by the Express now going off, a Copy of the Letter recd from General Washington.(1) The middle States are roused from their late supine State, & are exerting themselves to reinforce the Army; I hope a proper Spirit will be exercised on this Occasion & the Enemy be driven from the Jersies. The General makes no Mention of the Corps that accomplished this affair, but I believe You will find them to be principally our Countrymen; I wish not to see Distinctions made, but think that to raise a laudable Emulation Justice ought always to be  JANUARY 1, 1777  done to enterprizing officers & Men. Great Commendations are given to the officers & Men (by General Gates who is here unwell) Which were sent the last Campaign to Ticonderoga. I wish they may know that their Conduct has done them Honor.  We cannot be too attentive to raise the new Levies & attach Men to the Service by supporting the Credit of the Continental Money, paying, Cloathing, Arming & subsisting them well. Let Us exert Ourselves to these purposes, & in twelve Months with the Blessing of God I doubt not We shall see the Independence of America established on a Foundation that cannot be shaken by the Arms of Tyranny. Pray recommend to the Inhabitants of the Country to supply the Commissary with Vegetables & Vinegar; from Want of these thousands have died in the last Campaign. The adjournment of Congress to this place I confess gave me pain, but the air is so much more exhilirating that Some capital Measures touching our Foreign Affairs have been taken which I think will be very serviceable, & I hope it on the whole will prove serviceable. I congratulate You on this Success of our army & salute You with the Compliments of the Season, being Sir, with much Esteem your very sincerely, E Gerry  P.S. The Tories must be exported; Bonds will not answer the purpose, prisons We have not a sufficiency, & they are not worth hanging. I observe in a very good Act of yours the Word \""Colony\"" is again used. Does it not look like Diffidence in your Right to the Terms of an \""Independant State?\""  ""
"
2989,dg0064,1777,John Hancock to Joseph Trumbull,"""John Hancock to Joseph Trumbull
  Sir Jany 1st. 1777  I wrote you a few days ago by Express,(1) & Sent the Letter to the Govr. I Send this thro' the same Channels. I have now only time to beg your particular Attention to the foregoing Resolutions of Congress,(2) & to inform you that General Washington is Vested with ful powers to Conduct every Department.  I wish you happy, and am with Esteem, Sir, Your very huml servt, John Hancock Predt ""
"
2990,dg0065,1777,John Hancock to George Washington,"""John Hancock to George Washington
  Sir, Baltimore, Jany lt. 1777 I am to acknowledge the Receipt of your several Favours to the 27th Ulto. Your Letter of that Date, containing the very agreeable Intelligence of the Success of the Continental Arms under your Command, was last Night delivered to me by your Aid de Camp Colo. Baylor, together with the Hessian Standard.(1) I entertain the most pleasing Expectation that our Affairs will henceforth assume a better Complexion. Your Account of the Behaviour and Spirit of the Troops gave the highest Satisfaction to Congress; and manifests a Disposition which may prove the Forerunner of future Success. Considering the unfavourable Temper of the Men, broken by Fatigue & ill-Fortune, the happy Event of the Expedition appears the more extraordinary. But troops properly inspired, and animated by a just Confidence in their Leader will often exceed Expectation, or the Limits of Probability. As it is entirely to your Wisdom and Conduct the United States are indebted for the late Success of their Arms, the Pleasure you must naturally feel on the Occasion, will be pure and unmixt May you still proceed in the same Manner to acquire that Glory, which by your disinterested and magnanimous Behaviour you so highly merit.  I enclose to you a Copy of Resolves transmitted to Genl. Schuyler relative to the Northern Department, and also sundry other Resolves relative to your own immediate Department, which are all the Congress have come into since I wrote you last.(2) I have forwarded to all the States Copies of the Resolves vesting you with the Powers, which I had the Pleasure of transmitting in my last, accompanied with Letters explaining the Reasons on which Congress acted in that particular.(3)  From the enclosed Resolve you will percieve Congress have determined that a Horse, properly caparisoned, be presented to your Aid de Camp Colo. Baylor, and to recommend it to you to promote him to be a Colonel of a Regiment of Light Horse. As the Congress have been pleased to entrust me with the Execution of this Resolve, I must beg you will do me the Favour to give Directions to the Quarter Master, or other proper Person, to purchase as handsome a Horse for this Purpose, as can be found. The Reason of my making this Application, is an Information I had received that some Light Horse were taken at Trenton, and are to be publickly sold for the Benefit of the Soldiery. Should this be the Case, I must further ask the Favour of you to give Directions at the same Time to purchase one or two for my own Use. The Money shall be immediately remitted whatever it may be. I should be glad to know what Kind of Horse Furniture you think the most proper, as I would by all Means wish to procure the best, but without your Advice & Assistance, am apprehensive I shall not succeed. If the Horses are to be had, be pleased to  JANUARY 1, 1777  order them to be sent to me and every Expence shall be paid arising thereon.  This Recommendation of Colo. Baylor I doubt not will meet with your approbation, and that on his Return from Virginia, you will give him a Commission with such Pay as you shall think suitable and Adequate.  Wishing you very sincerely the Compliments of the Season, I have the Honour to be, with every Sentiment of Esteem & Regard, Sir, your most obedt. & very hble Servt. John Hancock Presidt  [P.S.] I shall Send you the Letter Books by the first safe hand.(4) By this oppory. I send you four Bundles containg two hundred Commissions, the rest shall immediately follow.(5)  ""
"
2991,dg0066,1777,William Hooper to Joseph Hewes,"""William Hooper to Joseph Hewes
  My dear Hewes Baltimore Jany 1, 1777 I was favoured with two letters from you by Capt. Allon. I lament your hard fortune, and unless some measures are immediately taken to prevent the infamous practices of the Privateers, America will soon be in a state of general confusion-one Part warring against another, and the defenceless Southern colonies become a devoted prey to their more formidable Eastern neighbours. I laid your letter relative the Capture of the Brig Joseph before the congress without any embellishment or reserve. The New England Gentlemen, felt the force of the Imputation but considered it as too general. I have an order that our President should write the President and Council of Mass'tts requesting to make an immediate enquiry after the Vessell and the Pirates who have taken her, secure her and them & report immediately to congress. I have also procured a reference of your letter to the marine Committee, who I hope will take some spirited JANUARY 1, 1777  resolves to avenge the Injury done you and to prevent the repetition of such unjustifiable depredations. Morris is not here, but I have requested him in a letter which I wrote him yesterday enclosing yours to correspond with me upon the subject and exert his utmost endeavours to interest Congress in favour of your Application, by a publick epistle to our Honours. This is all which can be done at present, when I hear more particularly from you I shall prosecute every expedient to improve such information to your benefit.(1)  The Congress upon Part of G. Howe's Army advancing within 9 Miles of Cooper's ferry, by the advices of Mifflin and Putnam removed to this dirty infamous extravagant hole, where with all possible oeconomy we live at the rate of 50/ per day, Every necessary of life being double what they cost us in Philadelphia, & before we left that every thing was enormous.  In a letter which accompanies this I send you an account of the signal success obtained at Trenton. It has already had a fine effect upon our recruiting service, one Reg't whose term of Enlistment was expired having reenlisted to a man since that Event. It has operated the contrary effects on our Enemy-as from what we can learn they are Pannic Struck. Certain it is that 2000 which were at Bordentown moved towards Princeton with great Precipitation and carried off all their Stores with them.  The State of General Washingtons Army is pretty nearly as follows.  Of Lees detachments brought from the East Side of Hudsons  River about----------------------------------- 2300 effective men Other continental Regiments-------------------2700 Genl Cadwallader with 1200 Militia -----------1200 Genl Ewen perhaps as many-------------------1200 Militia come in & coming in very fast since the battle will make perhaps ----------------------_2000 10000 With these Genl Washington will I imagine again enter the Jersies and attempt to drive the Enemy back to New York. Should he succeed Your cause is safe, and my apprehensions about Philadelphia at an end. Howe has about 12,000 in the Jersies, Headquarters at Brunswick & the principal part of the army collected there, most of the outposts are called in, they have a small force at Princeton. Genl Washington is at Newton in Bucks County, where a plot was formed against him and his family, happily defeated by an early discovery of the Tories Intentions.  Lee's Capture surprizes us all. He was taken about 2 miles from his army where he had stopped to write answers to dispatches. A man in the neighbourhood immediately rode off to Brunswick 25 Miles distant, gave information, 80 or 90 light horse were immediately dispatched under the command of Col Harcourt who arrived about 10 oClock in the morning and surprised Lee and his Aid de Camps, 6 in number, at the writing table. A guard of 10 men which men unfortunately at a little distance from the house were cut off from communication with the Genl. Lee was   seized & denied the privilige of taking his Hat or Shoes. One of his Aid de Camp's was wounded in a small conflict they maintained in defence of their General. He was taken to Princeton-thence to Brunswick & then I hear very indifferently used, they intend I hear to send him to England. Stockden I hear is taken by the Enemy 8 Miles from his own home, carried to Brunswick & there confined to close jail.(2) Andrew, Will & John Allen are gone over to the Enemy. Dickinson a little questionable, but I will not believe him guilty till I have much better evidence of his Guilt than at present. There are several frigates cruizing on Delaware. Several intended for the Southward. So much for news.  I think myself rather hardly used that notwithstanding my many letters to Convention I have not a single line from them. Am or am I not a delegate? Penn writes me that he has obtained Assurances of being sent here, but expresses himself doubtfully of You and me; that he has interested himself in your and my favor. As to the latter he might have spared himself the Trouble. If the Services I have rendered Carolina in a publick Character will not secure me the unsollicited unanimous reappointment of my Country I want it not, I court not further fatigue, I am worn out with the duties of the Office & nothing under Heaven but a wish to promote the Cause of liberty should have kept me from my family and my own private Concerns till this.(3)  Adieu My dear friend. Remember me affectionately to our friends at Edenton. Shew this to Iredell & Jones & any body else who will excuse the precipitation with which I have scrawled it & consider that I have thrown this crude Inteligence on paper, in the midst of a publick Assembly & ten thousand things to divert my attention. Yours truly, W H  [ P S ] Besides the force aforementioned, Genl. Heath has retaken Fort Lee, & Hackinsack Town, with some stores & a few prisoners. Heath has about 2000 with him.  ""
"
2993,dg0068,1777,Marine Committee to John Baldwin,"""Marine Committee to John Baldwin
  Sir (1) January 1st. 1777 Mr. Patterson is now going down to Egg Harbour to take the care and management of your Prizes in that place, and as its probable you may return there from your present Cruize, you are hereby directed on receipt of this Letter to send up immediately a return of the Provisions and Stores that will be wanted to compleat the Wasp for a three months voyage. Send also a List of your men and an account of what Slops and clothing may be necessary if you should be ordered to proceed to Europe. You may heave down the schooner & get her in good order against the return of the Express by whom you make these returns and if you are ordered on the service mentioned all things necessary shall be sent you. Keep this to yourself until further orders. Mr. Patterson will supply you with money for such expences as arise on the Vessel at Egg Harbour and if more is wanted write us for it.  I am on behalf of the Marine Comee., Your hble Servant,  R Morris V. P JANUARY 1, 1777  ""
"
2994,dg0069,1777,Robert Morris to George Washington,"""Robert Morris to George Washington
  Sir Philada. Jany 1st. 1777 I was honoured with your favour of yesterday by Mr Howell late last night, & ever solicitous to comply with your requisitions I am up very early this morning to dispatch a supply of fifty thousand Dollars to your Excellency.(1) You will receive that Sum with this letter but it will not be got away so early as I cou'd wish for, none concerned in this movement except myself are up. I shall rouse them immediately. It gives me great Pleasure that you have engaged the Troops to continue, and if further occasional supplys of money are necessary you may depend on my exertions either in a publick or private capacity.  The Year 1776 is over. I am heartily glad of it & hope you nor America will ever be plagued with such another. Let us accept the Success at Trentown as a presage of future fortunate Events and under that impression I do most sincerely wish you a Successful Campaign in 1777 to crown you with immortal honours in reward of the dangers & Fatigues of War, and that You may for many, many years after, enjoy the Sweets of Peace & Domestick happiness in reward of your Social Virtues. With Sincere Esteem & regard I ever am, sir, Your Obedt Servant,  Robt Morris ""
"
2995,dg00610,1777,Matthew Thornton to Meshech Weare,"""Matthew Thornton to Meshech Weare
  Hond Sir, Baltimore Jany 1D 1777 The weakness of my Eyes Since the Small Pox, is the Reason I have not done my Self the Honor to write to you & the Honble. Council & House, Oftener & More at large.  At present the Bearer waits & I have only time to Say General Washington has Gain'd two very Considerable Victories over the enemies of America & the Congress expects every moment the news of a Grand engagement.  For further news I must Refer you to news papers. If you are lead to beleive Mistaks by them (or neither know not what to beleive) the Current reports here are as uncertain.  JANUARY 1, 1777  I have not been favoured with one letter Publick or privat Since I left my own House. I would take it as a great Honor, to Receive a letter from you, or any worthy friend.(1) My Worthy College Col. Whipple is well.  Pray Sir take the trouble to present my Compliments to the Honble Council & House & Except the Same from Your Most Obedient, & Sir, your Hble sert. Matthew Thornton  ""
"
2996,dg00611,1777,Oliver Wolcott to Andrew Adams,"""Oliver Wolcott to Andrew Adams?
  Sir,(1) Baltimore, 1 Jany. 1777 Your Favour of the 30 Novr came to hand last Evening for which I most sincerely thank you. I wrote to you the 15 Nov. which I hope you have recd.(2) Your observations of the Necessity of establishing a respectable Army are in my Judgment Very Proper. Congress have empowered Genl Washington to raise 16 Battalions in addition to those already granted and 3,000 Cavalry. Also have given the Genl a Power for six months to conduct at his Descretion the operations of the War, establish magazines, call upon the Militia when necessary, regulate every Department in the Army, Displace and appoint any officer below the Rank of Brigadr. Genl. &c. In a Word the Whole of the Military Department is put into his Hand for six Months. Upon this that the Preservation of the Civil Liberties of the People, at the present Time, depends upon the full Exertion of the Military Power. An Embargo for six months is laid upon salted Provisions.(3) For other matters of publick Intelligence referr you to the enclosed I hope We may obtain further advantages agt the Enemy in the Jersys. The Congress is this moment going off. I have only to say that We must have an Army, to carry on a War without one is a New Peice of Business. That they ought to be provided for in the best manner, and that without discipline they will not be serviceable and that if We can once bring one into the Feild, they will be much better provided for, disciplined and governed than they have hitherto been. In a Word I believe if We can get an Army it will be a good one-more happy themselves and more Beneficial to the Publick than any we have yet had.  Great Complaints are made that the Assemblys have appointed great Numbers of Very insufficient officers and have neglected the most apparent Merit.  Your kindness for me particularly exacts my Gratitude. I wish I was less sensible of the Injury I have recd. Any but those who have exercised Power to answer sinister Purposes to my Injury I can easily forgive, but JANUARY 1, 1777  these men I hope may deserve not only my Forgiveness but that of their Maker. I am at no Loss as to what they deserve. But God forbid that the Villany shall ever induce me to relax my Endeavours to serve my Country as farr as I am able. I saw the Baseness of these Mens Design and the Effect of my own undertaking in a good Degree contrary to my own Opinion I undertook, and therefore ought to suffer. I am generally tho't to be pritty inflexible in my own Opinion. I certainly will study to be more so.  My Compliments to Mrs. Adams and with Candor Accept this hasty Sketch from Sir, your most Obedient, humble Servant  Oliver Wolcott ""
"
