sLabel,label,year,coordinates
Bromley,KY,1784,Point(-84.56 39.0825)
Georgetown,KY,1784,Point(-84.56 38.2097)
Halifax,PA,1784,Point(-76.9311 40.4675)
Halifax,PA,1784,Point(-76.93192 40.46814)
Hendersonville,TN,1784,Point(-86.62 36.304722222)
Jefferson Hills,PA,1784,Point(-79.933055555 40.285555555)
Lewisberry,PA,1784,Point(-76.85969 40.13509)
Lewisberry,PA,1784,Point(-76.8606 40.1353)
Lewisburg,PA,1784,Point(-76.8881 40.9639)
Littleton,NH,1784,Point(-71.77 44.306111111)
Machias,ME,1784,Point(-67.466666666 44.683333333)
Rockingham,NC,1784,Point(-79.761111111 34.939444444)
Sutton,NH,1784,Point(-71.951388888 43.334166666)
Towanda,PA,1784,Point(-76.4467 41.7703)
Woodbridge,CT,1784,Point(-73.011388888 41.354166666)
Woodbridge,CT,1784,Point(-73.00844 41.3526)
Berlin,CT,1785,Point(-72.7725 41.613888888)
Bristol,CT,1785,Point(-72.940555555 41.681111111)
Brownsville,PA,1785,Point(-79.8894 40.02)
Brownsville,PA,1785,Point(-79.88394 40.02369)
Clarksburg,WV,1785,Point(-80.344444444 39.280555555)
Clarksville,TN,1785,Point(-87.3594444 36.5297222)
Danville,KY,1785,Point(-84.7725 37.645833333)
East Haven,CT,1785,Point(-72.86843 41.27621)
East Haven,CT,1785,Point(-72.8625 41.295555555)
Emmitsburg,MD,1785,Point(-77.3253 39.7047)
Ferndale,PA,1785,Point(-78.9181 40.2881)
Ferndale,PA,1785,Point(-78.91475 40.28896)
Florissant,MO,1785,Point(-90.325555555 38.797777777)
Galveston,TX,1785,Point(-94.7977778 29.3013889)
Havre de Grace,MD,1785,Point(-76.0975 39.5483)
Hudson,NY,1785,Point(-73.789722222 42.25)
Laurens,SC,1785,Point(-82.018333333 34.500833333)
Maryville,TN,1785,Point(-83.97556 35.74972)
Monroe,LA,1785,Point(-92.1183 32.5094)
Ossipee,NH,1785,Point(-71.117222222 43.684722222)
Owego,NY,1785,Point(-76.2633 42.1044)
Pittsboro,NC,1785,Point(-79.176388888 35.720277777)
Plattsburgh,NY,1785,Point(-73.458333333 44.695277777)
Plattsburgh,NY,1785,Point(-73.4956 44.6881)
Shapleigh,ME,1785,Point(-70.848055555 43.540555555)
Thompson,CT,1785,Point(-71.877777777 41.984444444)
Thompson,CT,1785,Point(-71.86257 41.95871)
Accident,MD,1786,Point(-79.32 39.6281)
Accomac,VA,1786,Point(-75.667222222 37.718611111)
Ashland,KY,1786,Point(-82.6417 38.4639)
Augusta,KY,1786,Point(-84.0058 38.7717)
Bayou La Batre,AL,1786,Point(-88.248117 30.403253)
Bishopville,SC,1786,Point(-80.248888888 34.218888888)
Blakely,PA,1786,Point(-75.6 41.4833)
Blakely,PA,1786,Point(-75.59463 41.48091)
Bozrah,CT,1786,Point(-72.175277777 41.544722222)
Camden,SC,1786,Point(-80.609166666 34.259166666)
Castle Shannon,PA,1786,Point(-80.02228 40.36479)
Castle Shannon,PA,1786,Point(-80.019722222 40.365833333)
Charleston,WV,1786,Point(-81.633333333 38.347222222)
Chemung,NY,1786,Point(-76.623888888 42.008333333)
Cooperstown,NY,1786,Point(-74.926944444 42.697222222)
Dearborn,MI,1786,Point(-83.213480555 42.311330555)
Ellington,CT,1786,Point(-72.46981 41.90399)
Ellington,CT,1786,Point(-72.457777777 41.916666666)
Erwin,NY,1786,Point(-77.122222222 42.149722222)
Frankfort,KY,1786,Point(-84.863 38.197)
Greenville,NC,1786,Point(-77.3725 35.601666666)
Hamden,CT,1786,Point(-72.921666666 41.397777777)
Hampton,CT,1786,Point(-72.066666666 41.783333333)
Knoxville,TN,1786,Point(-83.923333333 35.961666666)
Litchfield,NY,1786,Point(-75.145083333 42.976972222)
Louisville,GA,1786,Point(-82.4047 33.0042)
McConnellsburg,PA,1786,Point(-77.99583 39.9325)
Montville,CT,1786,Point(-72.155555555 41.463888888)
Montville,CT,1786,Point(-72.15119 41.47899)
North Haven,CT,1786,Point(-72.85954 41.39093)
Readsboro,VT,1786,Point(-72.971838 42.7988474)
Readsboro,VT,1786,Point(-72.94732 42.77175)
Rocky Mount,VA,1786,Point(-79.8897 36.9997)
St. Johnsbury,VT,1786,Point(-72.0115463 44.4552387)
Turner,ME,1786,Point(-70.256111111 44.256388888)
Union,ME,1786,Point(-69.274166666 44.211388888)
Woodsboro,MD,1786,Point(-77.3144 39.5344)
Bethlehem,CT,1787,Point(-73.208611111 41.639166666)
Brunswick,MD,1787,Point(-77.6281858 39.3131621)
Columbia,SC,1787,Point(-81.044166666 34.000555555)
Cumberland,MD,1787,Point(-78.762777777 39.647777777)
Elizabeth,PA,1787,Point(-79.8864 40.2711)
Elkton,MD,1787,Point(-75.825833333 39.61)
Fairfield,OH,1787,Point(-84.542842 39.331156)
Farragut,TN,1787,Point(-84.173611111 35.8775)
Farragut,TN,1787,Point(-84.15353 35.88452)
Goldsboro,NC,1787,Point(-77.978055555 35.381944444)
Hallstead,PA,1787,Point(-75.7486 41.9625)
Hallstead,PA,1787,Point(-75.74324 41.96119)
Hamburg,PA,1787,Point(-75.9833 40.55)
Hamburg,PA,1787,Point(-75.98188 40.55565)
Langdon,NH,1787,Point(-72.380277777 43.166666666)
Lumberton,NC,1787,Point(-79.0119 34.6272)
Middleburg,VA,1787,Point(-77.7375 38.9683)
Monaca,PA,1787,Point(-80.2769 40.6839)
Monaca,PA,1787,Point(-80.27145 40.68729)
Montpelier,VT,1787,Point(-72.5717415 44.2658586)
Morristown,TN,1787,Point(-83.2961 36.2106)
Murfreesboro,NC,1787,Point(-77.096944444 36.441111111)
Norway,NY,1787,Point(-74.952222222 43.208333333)
Penobscot,ME,1787,Point(-68.71114 44.46452)
Plymouth,NC,1787,Point(-76.747777777 35.859722222)
Rutherfordton,NC,1787,Point(-81.958888888 35.366388888)
Selinsgrove,PA,1787,Point(-76.86219 40.79897)
Selinsgrove,PA,1787,Point(-76.863055555 40.8025)
Southbury,CT,1787,Point(-73.234166666 41.473611111)
Southbury,CT,1787,Point(-73.21317 41.48148)
Sullivan,NH,1787,Point(-72.220833333 43.013055555)
Troy,NY,1787,Point(-73.6925 42.731666666)
West Grove,PA,1787,Point(-75.82744 39.82205)
West Grove,PA,1787,Point(-75.8267 39.8217)
Weston,CT,1787,Point(-73.370555555 41.225555555)
Woodruff,SC,1787,Point(-82.0325 34.740555555)
Allegheny,PA,1788,Point(-80.02 40.45)
Amenia,NY,1788,Point(-73.554722222 41.846944444)
Ashland,NY,1788,Point(-76.739444444 42.0225)
Bristol,NY,1788,Point(-77.424166666 42.845277777)
Brookfield,CT,1788,Point(-73.391944444 41.468611111)
Canajoharie,NY,1788,Point(-74.571944444 42.906111111)
Canandaigua,NY,1788,Point(-77.2817 42.8861)
Catskill,NY,1788,Point(-73.8664 42.2211)
Cincinnati,OH,1788,Point(-84.5125 39.1)
Columbia,PA,1788,Point(-76.496666666 40.033055555)
Cortlandt,NY,1788,Point(-73.9025 41.261388888)
Front Royal,VA,1788,Point(-78.1919 38.9258)
Halfmoon,NY,1788,Point(-73.7425 42.856666666)
Herkimer,NY,1788,Point(-74.99027778 43.02611111)
Johnsburg,NY,1788,Point(-74.004166666 43.643333333)
Marietta,OH,1788,Point(-81.45028 39.42056)
Meadville,PA,1788,Point(-80.14722 41.64194)
Menomonie,WI,1788,Point(-91.918055555 44.879166666)
Mount Vernon,IN,1788,Point(-87.8989 37.9367)
Murrysville,PA,1788,Point(-79.6567 40.4347)
New Brighton,PA,1788,Point(-80.31006 40.73034)
New Brighton,PA,1788,Point(-80.3097 40.7369)
New Madrid,MO,1788,Point(-89.535833333 36.587777777)
Norwich,NY,1788,Point(-75.521666666 42.531944444)
Orangetown,NY,1788,Point(-73.961666666 41.058611111)
Palatine,NY,1788,Point(-74.562777777 42.95)
Pawling,NY,1788,Point(-73.6 41.5667)
Pelham,NY,1788,Point(-73.8075 40.910555555)
Philipstown,NY,1788,Point(-73.929722222 41.405833333)
Plum,PA,1788,Point(-79.754444444 40.498611111)
Plum,PA,1788,Point(-79.74949 40.50035)
Pound Ridge,NY,1788,Point(-73.5747 41.2086)
Pound Ridge,NY,1788,Point(-73.57485 41.20871)
Sabattus,ME,1788,Point(-70.1075 44.119722222)
Sharonville,OH,1788,Point(-84.413333333 39.268055555)
Warwick,NY,1788,Point(-74.35988 41.25648)
West Newton,PA,1788,Point(-79.7692 40.2094)
West Newton,PA,1788,Point(-79.76699 40.20979)
Westmont,PA,1788,Point(-78.95169 40.31563)
Westmont,PA,1788,Point(-78.9489 40.3186)
Worcester,NY,1788,Point(-74.75043 42.59146)
Worcester,NY,1788,Point(-74.716666666 42.6)
Bainbridge,NY,1789,Point(-75.47935 42.29341)
Bainbridge,NY,1789,Point(-75.48 42.2947)
Barton,VT,1789,Point(-72.17621 44.7481)
Barton,VT,1789,Point(-72.186666666 44.763611111)
Belpre,OH,1789,Point(-81.585 39.2803)
Blue Hill,ME,1789,Point(-68.566111111 44.404444444)
Braden,TN,1789,Point(-89.574942 35.374867)
Canisteo,NY,1789,Point(-77.60582 42.27035)
Carthage,TN,1789,Point(-85.949211 36.25496)
Deer Isle,ME,1789,Point(-68.6775 44.223888888)
Fort Gay,WV,1789,Point(-82.594722222 38.1175)
Freeport,ME,1789,Point(-70.1017 43.8439)
Geneseo,NY,1789,Point(-77.813611111 42.795833333)
Georgetown,AR,1789,Point(-91.45513 35.12703)
Georgetown,AR,1789,Point(-91.353333333 35.127777777)
Jerusalem,NY,1789,Point(-77.143055555 42.620277777)
Lodi,NY,1789,Point(-76.824166666 42.613333333)
Macedon,NY,1789,Point(-77.303611111 43.067777777)
Middletown,NY,1789,Point(-74.610555555 42.169166666)
Millvale,PA,1789,Point(-79.97361 40.48278)
Moravia,NY,1789,Point(-76.4231 42.7111)
New Milford,PA,1789,Point(-75.727222222 41.8725)
New Milford,PA,1789,Point(-75.7264 41.8764)
Palmyra,NY,1789,Point(-77.2333 43.0636)
Rogersville,TN,1789,Point(-83.0 36.416666666)
Romulus,NY,1789,Point(-76.833611111 42.752222222)
Shelton,CT,1789,Point(-73.138055555 41.304166666)
Vinalhaven,ME,1789,Point(-68.831666666 44.048055555)
West Point,KY,1789,Point(-85.9544 37.9917)
Apollo,PA,1790,Point(-79.56417 40.58389)
Bartlett,NH,1790,Point(-71.282777777 44.077777777)
Brownington,VT,1790,Point(-72.134166666 44.825555555)
Burlington,PA,1790,Point(-76.60745 41.7798)
Burlington,PA,1790,Point(-76.6086 41.7828)
Camillus,NY,1790,Point(-76.3081 43.0394)
Easton,MD,1790,Point(-76.070555555 38.771666666)
Fayette,NY,1790,Point(-76.866666666 42.85)
Gallipolis,OH,1790,Point(-82.1975 38.8153)
Hornell,NY,1790,Point(-77.666666666 42.316666666)
Hornellsville,NY,1790,Point(-77.673888888 42.346111111)
Le Raysville,PA,1790,Point(-76.1803 41.8378)
Le Raysville,PA,1790,Point(-76.18021 41.83869)
Lewistown,PA,1790,Point(-77.573333333 40.5975)
Lincoln,VT,1790,Point(-72.9724365 44.0955426)
Loudon,TN,1790,Point(-84.349444444 35.733888888)
Manchester,OH,1790,Point(-83.60917 38.68944)
Mifflintown,PA,1790,Point(-77.39528 40.57056)
Naples,NY,1790,Point(-77.4025 42.6161)
Naples,ME,1790,Point(-70.609166666 43.971666666)
Ohioville,PA,1790,Point(-80.49479 40.67923)
Ohioville,PA,1790,Point(-80.4714 40.6794)
Orange,NH,1790,Point(-71.971388888 43.653888888)
Rensselaerville,NY,1790,Point(-74.171944444 42.479444444)
South Williamsport,PA,1790,Point(-77.0006 41.2292)
Sylvania,GA,1790,Point(-81.6397 32.7503)
Tatamy,PA,1790,Point(-75.25712 40.74093)
Tatamy,PA,1790,Point(-75.253333333 40.740833333)
Taylor,PA,1790,Point(-75.7153 41.3914)
Ulysses,NY,1790,Point(-76.615555555 42.518333333)
Waymart,PA,1790,Point(-75.4069 41.5808)
Wilkinsburg,PA,1790,Point(-79.88199 40.44174)
Wilkinsburg,PA,1790,Point(-79.8775 40.443888888)
Williamsburg,PA,1790,Point(-78.2039 40.4617)
Benson,VT,1791,Point(-73.31123 43.70701)
Benson,VT,1791,Point(-73.294444444 43.713611111)
Brookfield,NY,1791,Point(-75.344722222 42.804444444)
Camden,ME,1791,Point(-69.064722222 44.209722222)
Canonsburg,PA,1791,Point(-80.185 40.261944444)
Clarkstown,NY,1791,Point(-73.980277777 41.126111111)
Cortland,NY,1791,Point(-76.181388888 42.600555555)
Courtland,VA,1791,Point(-77.0661 36.7158)
Georgetown,DE,1791,Point(-75.386666666 38.690277777)
Goshen,NH,1791,Point(-72.147777777 43.301111111)
Greenfield,NH,1791,Point(-71.872222222 42.950555555)
Homer,NY,1791,Point(-76.17882 42.63701)
Homer,NY,1791,Point(-76.182 42.6408)
Honeoye Falls,NY,1791,Point(-77.587222222 42.956388888)
Jacksonville,FL,1791,Point(-81.65 30.316666666)
New Castle,NY,1791,Point(-73.768611111 41.185277777)
Owego,NY,1791,Point(-76.263333333 42.104444444)
Oxford,NY,1791,Point(-75.5978 42.4422)
Quarryville,PA,1791,Point(-76.1622 39.8953)
Quarryville,PA,1791,Point(-76.16357 39.89705)
Ramapo,NY,1791,Point(-74.168611111 41.141111111)
Santa Cruz,CA,1791,Point(-122.026252 36.97205)
Sharon,NH,1791,Point(-71.915555555 42.813055555)
Union,NY,1791,Point(-75.887222222 42.867777777)
Wayne,NY,1791,Point(-77.105555555 42.470833333)
Armagh,PA,1792,Point(-79.03197 40.45368)
Armagh,PA,1792,Point(-79.030555555 40.459444444)
Beaver,PA,1792,Point(-80.3075 40.6947)
Bolton,NY,1792,Point(-73.668055555 43.559166666)
Boonsboro,MD,1792,Point(-77.6539 39.5083)
Bucksport,ME,1792,Point(-68.7875 44.571)
Bulls Gap,TN,1792,Point(-83.079507 36.259094)
Castorland,NY,1792,Point(-75.5139 43.8875)
Cherryville,NC,1792,Point(-81.3792 35.3811)
Christiansburg,VA,1792,Point(-80.4078 37.1411)
Duncannon,PA,1792,Point(-77.0206 40.3939)
Duncannon,PA,1792,Point(-77.02303 40.39814)
Goshen,VT,1792,Point(-73.0048022 43.8657914)
Greene,NY,1792,Point(-75.77 42.33)
Groveland,NY,1792,Point(-77.769722222 42.664722222)
Hebron,NH,1792,Point(-71.806666666 43.693611111)
Huron,OH,1792,Point(-82.565 41.3997)
Johnson,VT,1792,Point(-72.6844758 44.6484356)
Kingston,TN,1792,Point(-84.525 35.872222222)
Lake Luzerne,NY,1792,Point(-73.825 43.319166666)
"Liberty, Tioga County",PA,1792,Point(-77.1047 41.5583)
"Liberty, Tioga County",PA,1792,Point(-77.10469 41.55841)
Limington,ME,1792,Point(-70.71089 43.73174)
Mifflinburg,PA,1792,Point(-77.046666666 40.918888888)
Mount Sterling,KY,1792,Point(-83.9444 38.0567)
New Berlin,PA,1792,Point(-76.98692 40.87897)
New Berlin,PA,1792,Point(-76.9864 40.8803)
"New Oxford, Pennsylvania",PA,1792,Point(-77.0564 39.8633)
Paterson,NJ,1792,Point(-74.163055555 40.915555555)
Railroad,PA,1792,Point(-76.6994 39.7567)
Railroad,PA,1792,Point(-76.6983 39.76066)
Shelbyville,KY,1792,Point(-85.2258 38.2122)
Sherburne,NY,1792,Point(-75.4975 42.6792)
Sidney,ME,1792,Point(-69.740524 44.446526)
Southport,NC,1792,Point(-78.020555555 33.924444444)
St. Marys,GA,1792,Point(-81.5714 30.7564)
Steuben,NY,1792,Point(-75.283055555 43.32)
Stuart,VA,1792,Point(-80.2739 36.6403)
Verona,NY,1792,Point(-75.570833333 43.138055555)
Versailles,KY,1792,Point(-84.7308 38.0547)
Virgil,NY,1792,Point(-76.158055555 42.510833333)
Yanceyville,NC,1792,Point(-79.341666666 36.406944444)
Alexandria,PA,1793,Point(-78.098888888 40.557777777)
Alexandria,PA,1793,Point(-78.09778 40.55646)
Alexandria,KY,1793,Point(-84.38917 38.95889)
Aliquippa,PA,1793,Point(-80.263055555 40.615)
Auburn,NY,1793,Point(-76.564769444 42.931661111)
Baltimore,VT,1793,Point(-72.566666666 43.35)
Bath,NY,1793,Point(-77.3169 42.3378)
Benton,PA,1793,Point(-76.38355 41.19508)
Benton,PA,1793,Point(-76.3833 41.1961)
Bethlehem,NY,1793,Point(-73.833333333 42.6)
Bradford,NY,1793,Point(-77.108888888 42.371111111)
Buckfield,ME,1793,Point(-70.36534 44.28951)
Cambridge,MD,1793,Point(-76.076944444 38.566388888)
Cape Girardeau,MO,1793,Point(-89.546388888 37.309166666)
Cazenovia,NY,1793,Point(-75.8526 42.9315)
Chapel Hill,NC,1793,Point(-79.049922222 35.907308333)
Columbia,NC,1793,Point(-76.249722222 35.917777777)
Cynthiana,KY,1793,Point(-84.2969 38.3883)
Delaware Water Gap,PA,1793,Point(-75.1425 40.9819)
Elbridge,NY,1793,Point(-76.4433 43.0342)
Florida,NY,1793,Point(-74.2 42.9)
Georgetown,PA,1793,Point(-80.5 40.6411)
Georgetown,PA,1793,Point(-80.49784 40.64145)
Kaukauna,WI,1793,Point(-88.268333333 44.278888888)
Landisburg,PA,1793,Point(-77.3069 40.3422)
Landisburg,PA,1793,Point(-77.30721 40.34258)
Lawrenceville,PA,1793,Point(-77.1292 41.9958)
Manchester,NY,1793,Point(-77.23026 42.96979)
Manchester,NY,1793,Point(-77.2261 42.9694)
Manchester,NY,1793,Point(-77.226111111 42.969444444)
Milesburg,PA,1793,Point(-77.789166666 40.9425)
Milesburg,PA,1793,Point(-77.785 40.94173)
"Newry, Pennsylvania",PA,1793,Point(-78.435 40.3933)
Paris,ME,1793,Point(-70.500555555 44.259722222)
Phelps,NY,1793,Point(-77.0622 42.9583)
Shepherdsville,KY,1793,Point(-85.7139 37.9881)
Trenton,NY,1793,Point(-75.190555555 43.255277777)
Urbana,NY,1793,Point(-77.181111111 42.454444444)
Wyalusing,PA,1793,Point(-76.2633 41.6675)
Wyalusing,PA,1793,Point(-76.26188 41.66813)
Alfred,ME,1794,Point(-70.718611111 43.4825)
Alna,ME,1794,Point(-69.603611111 44.106111111)
Avoca,NY,1794,Point(-77.42137 42.40951)
Avoca,NY,1794,Point(-77.4203 42.4106)
Bridgton,ME,1794,Point(-70.71284 44.05479)
Brookeville,MD,1794,Point(-77.0591452 39.1806623)
Brookfield,NH,1794,Point(-71.065 43.558888888)
Centreville,MD,1794,Point(-76.064444444 39.046111111)
Chester,NY,1794,Point(-73.847222222 43.676944444)
Cohocton,NY,1794,Point(-77.500277777 42.500555555)
Cornish,ME,1794,Point(-70.80117 43.8048)
Dresden,ME,1794,Point(-69.75 44.076944444)
Dushore,PA,1794,Point(-76.40077 41.52424)
Dushore,PA,1794,Point(-76.4006 41.5278)
Elizabeth City,NC,1794,Point(-76.225 36.295555555)
Farmington,ME,1794,Point(-70.146944444 44.665555555)
Forksville,PA,1794,Point(-76.605277777 41.492222222)
Forksville,PA,1794,Point(-76.60217 41.48702)
Fort Wayne,IN,1794,Point(-85.13915 41.08045)
Franklin,WV,1794,Point(-79.331666666 38.6475)
Gordonsville,VA,1794,Point(-78.1869 38.1347)
Hamilton,OH,1794,Point(-84.565 39.395833333)
Homer,NY,1794,Point(-76.178611111 42.636944444)
Jonesville,VA,1794,Point(-83.1164 36.6881)
Manlius,NY,1794,Point(-75.982777777 43.048055555)
Marksville,LA,1794,Point(-92.06583 31.12639)
Milford,NH,1794,Point(-71.648888888 42.835277777)
Newfield,ME,1794,Point(-70.846944444 43.648055555)
Newville,PA,1794,Point(-77.4019 40.1697)
Newville,PA,1794,Point(-77.3986 40.17314)
Richmond,VT,1794,Point(-72.9940131 44.3952163)
Salisbury,PA,1794,Point(-79.080833333 39.752777777)
Springfield,NH,1794,Point(-72.034166666 43.495277777)
Sterling,CT,1794,Point(-71.816388888 41.702222222)
Susquehanna Depot,PA,1794,Point(-75.6039 41.9447)
Tyre,NY,1794,Point(-76.8 42.983333333)
Varick,NY,1794,Point(-76.865 42.773888888)
Watsontown,PA,1794,Point(-76.863333333 41.085277777)
Westfield,NJ,1794,Point(-74.3434 40.6516)
Williamson,NY,1794,Point(-77.186388888 43.279722222)
Wilmot,NH,1794,Point(-71.913333333 43.450833333)
Au Sable,NY,1795,Point(-73.516666666 44.516666666)
Bellefonte,PA,1795,Point(-77.774722222 40.914722222)
Burgettstown,PA,1795,Point(-80.3911 40.3808)
Charleston,ME,1795,Point(-69.035277777 45.060833333)
Chatham,NY,1795,Point(-73.5764 42.4181)
Connoquenessing,PA,1795,Point(-80.01423 40.81784)
Connoquenessing,PA,1795,Point(-80.0136 40.8181)
Danbury,NH,1795,Point(-71.863333333 43.525833333)
Dansville,NY,1795,Point(-77.696111111 42.561944444)
DeRuyter,NY,1795,Point(-75.885 42.7589)
Erie,PA,1795,Point(-80.085213888 42.129561111)
Everett,PA,1795,Point(-78.3733 40.0142)
Fayette,ME,1795,Point(-70.03367 44.40896)
Greenville,OH,1795,Point(-84.6281 40.1025)
Jefferson,PA,1795,Point(-80.05895 39.93007)
Jefferson,PA,1795,Point(-80.0589 39.9303)
Junius,NY,1795,Point(-76.916666666 42.983333333)
Lewiston,ME,1795,Point(-70.215277777 44.100555555)
Marion,SC,1795,Point(-79.397222222 34.18)
Marion,NY,1795,Point(-77.189166666 43.143333333)
McKean,PA,1795,Point(-80.14528 41.99889)
McKeesport,PA,1795,Point(-79.845005555 40.341877777)
Newport,KY,1795,Point(-84.4903 39.0886)
Petersburg,PA,1795,Point(-78.0481 40.5725)
Petersburg,PA,1795,Point(-78.04695 40.57257)
Plymouth,CT,1795,Point(-73.052777777 41.671944444)
Poland,ME,1795,Point(-70.393611111 44.060555555)
Sevierville,TN,1795,Point(-83.57 35.8775)
Sharon,PA,1795,Point(-80.5 41.2333)
Somerset,PA,1795,Point(-79.0814 40.0069)
Stark,NH,1795,Point(-71.42453 44.60144)
Stark,NH,1795,Point(-71.409166666 44.601388888)
Steubenville,OH,1795,Point(-80.631111111 40.365277777)
Stewartstown,NH,1795,Point(-71.507777777 45.006111111)
Stony Creek,NY,1795,Point(-73.961666666 43.426666666)
Sylvania,PA,1795,Point(-76.8569 41.80507)
Sylvania,PA,1795,Point(-76.8553 41.8056)
Taos,NM,1795,Point(-105.573277777 36.40725)
Tully,NY,1795,Point(-76.1064 42.7975)
Warren,PA,1795,Point(-79.1425 41.8442)
Waterford,PA,1795,Point(-79.9845 41.94283)
Waterford,PA,1795,Point(-79.9839 41.9436)
West Middletown,PA,1795,Point(-80.4242 40.2403)
Alton,NH,1796,Point(-71.219722222 43.454166666)
Asheboro,NC,1796,Point(-79.813055555 35.715277777)
Barkeyville,PA,1796,Point(-79.9828 41.2003)
Barkeyville,PA,1796,Point(-79.97561 41.192)
Belgrade,ME,1796,Point(-69.8325 44.447222222)
Bellevue,PA,1796,Point(-80.0536 40.4939)
Bellevue,PA,1796,Point(-80.05172 40.49396)
Brookville,PA,1796,Point(-79.0803 41.1597)
Canton,PA,1796,Point(-76.853333333 41.656388888)
Canton,PA,1796,Point(-76.8508 41.6558)
Centerville,OH,1796,Point(-84.1481 39.6386)
Chateaugay,NY,1796,Point(-74.0742 44.9225)
Cleveland,OH,1796,Point(-81.669722222 41.482222222)
Colebrook,NH,1796,Point(-71.495833333 44.894444444)
Concord,NC,1796,Point(-80.6006 35.4044)
Conneaut Lake,PA,1796,Point(-80.30534 41.60339)
Constableville,NY,1796,Point(-75.4258 43.5647)
Corning,NY,1796,Point(-77.056944444 42.148055555)
Dansville,NY,1796,Point(-77.665555555 42.476944444)
Dayton,OH,1796,Point(-84.2 39.766666666)
Denton,MD,1796,Point(-75.826666666 38.883888888)
Donegal,PA,1796,Point(-79.3819 40.1117)
East Liverpool,OH,1796,Point(-80.5692 40.6286)
Ebensburg,PA,1796,Point(-78.7256 40.4864)
Elizabeth,WV,1796,Point(-81.395555555 39.062777777)
Euclid,OH,1796,Point(-81.519166666 41.595555555)
"Fallston, Pennsylvania",PA,1796,Point(-80.31562 40.72562)
"Fallston, Pennsylvania",PA,1796,Point(-80.31 40.7197)
Franklin,OH,1796,Point(-84.3017 39.5614)
Freeburg,PA,1796,Point(-76.93942 40.76314)
Freeburg,PA,1796,Point(-76.9375 40.763888888)
Freeport,PA,1796,Point(-79.68477 40.67395)
Freeport,PA,1796,Point(-79.6864 40.6744)
Glenfield,PA,1796,Point(-80.13034 40.51812)
Glenfield,PA,1796,Point(-80.131944444 40.519166666)
Hague,NY,1796,Point(-73.521111111 43.735555555)
Harlan,KY,1796,Point(-83.32 36.8414)
Hermitage,PA,1796,Point(-80.4606 41.2325)
Hopkinsville,KY,1796,Point(-87.48861 36.85444)
Hulmeville,PA,1796,Point(-74.911 40.14317)
Hulmeville,PA,1796,Point(-74.9072 40.1433)
Jefferson,NH,1796,Point(-71.474444444 44.418888888)
Kirtland,OH,1796,Point(-81.3447 41.6025)
Milford,PA,1796,Point(-74.802777777 41.324166666)
Montgomery,OH,1796,Point(-84.3475 39.2472)
New Baltimore,MI,1796,Point(-82.736944444 42.681111111)
Orwigsburg,PA,1796,Point(-76.1019 40.6567)
Orwigsburg,PA,1796,Point(-76.10077 40.65481)
Oswego,NY,1796,Point(-76.506666666 43.454722222)
Rome,PA,1796,Point(-76.3417 41.8569)
Rome,PA,1796,Point(-76.34077 41.85841)
Roxbury,CT,1796,Point(-73.3025 41.551944444)
Sandersville,GA,1796,Point(-82.809722222 32.981944444)
Snydertown,PA,1796,Point(-76.6706 40.8733)
Snydertown,PA,1796,Point(-76.67056 40.87333)
Snydertown,PA,1796,Point(-76.66579 40.88009)
South Boston,VA,1796,Point(-78.9033 36.7078)
South Boston,VA,1796,Point(-78.9014 36.69875)
Sugarcreek,PA,1796,Point(-79.881111111 41.421388888)
Sugarcreek,PA,1796,Point(-79.8189 41.4211)
Titusville,PA,1796,Point(-79.67336727 41.627086966)
Trenton,KY,1796,Point(-87.2611 36.7233)
Waltham,VT,1796,Point(-73.2345168 44.1316406)
Wampum,PA,1796,Point(-80.33812 40.88812)
Wampum,PA,1796,Point(-80.3397 40.8886)
Waynesburg,PA,1796,Point(-80.1856 39.8975)
Williamsburg,OH,1796,Point(-84.0536 39.0547)
Wolcott,CT,1796,Point(-72.98677 41.60232)
Wolcott,CT,1796,Point(-72.975 41.601111111)
Youngstown,OH,1796,Point(-80.649166666 41.096388888)
Youngstown,NY,1796,Point(-79.0425 43.248888888)
Youngsville,PA,1796,Point(-79.31866 41.85228)
Youngsville,PA,1796,Point(-79.3186 41.8533)
Albion,PA,1797,Point(-80.36645 41.89061)
Albion,PA,1797,Point(-80.361666666 41.891111111)
Arkport,NY,1797,Point(-77.6961 42.3933)
Asheville,NC,1797,Point(-82.555833333 35.58)
Athens,OH,1797,Point(-82.101111111 39.329166666)
Batavia,OH,1797,Point(-84.1792 39.0772)
Birmingham,PA,1797,Point(-78.1953 40.6472)
Bloomsburg,PA,1797,Point(-76.458055555 41.0025)
Cassville,PA,1797,Point(-78.0278 40.2931)
Cassville,PA,1797,Point(-78.02695 40.29313)
Columbia,NH,1797,Point(-71.514166666 44.877777777)
Cooperstown,PA,1797,Point(-79.8739 41.4997)
Cooperstown,PA,1797,Point(-79.87033 41.49867)
Covert,NY,1797,Point(-76.683611111 42.575277777)
Eastlake,OH,1797,Point(-81.4353 41.6611)
Elizabethtown,KY,1797,Point(-85.866666666 37.7)
Henderson,KY,1797,Point(-87.5808 37.8356)
Holland Patent,NY,1797,Point(-75.2569 43.2419)
Hookstown,PA,1797,Point(-80.4742 40.5989)
Hookstown,PA,1797,Point(-80.47284 40.59923)
Jeffersontown,KY,1797,Point(-85.5736 38.2061)
Lancaster,KY,1797,Point(-84.5794 37.6186)
Le Roy,NY,1797,Point(-77.9922 42.9775)
